yiguoduan	see 連鍋端|连锅端[lian2 guo1 duan1]	一锅端
yiguozhou	a pot of porridge	一锅粥
yichangyiduan	talking endlessly	一长一短
yimenshi	one-stop	一门式
yimenxinsi	set one's heart on sth	一门心思
yishannian	sudden idea	一闪念
yishanerguo	flash past	一闪而过
yizhen	a burst	一阵
yizhenzi	a while	一阵子
yixueqianchi	wipe away a humiliation	一雪前耻
yisha	in a flash	一霎
yishashi	in an instant	一霎时
yishayan	suddenly	一霎眼
yishajian	in a flash	一霎间
yilingzhenxing	soul	一灵真性
yimian	one side	一面
yimianzhijiao	have met once	一面之交
yimianzhiyuan	one-time encounter	一面之缘
yimianzhici	one side of the story	一面之词
yimiandao	be entirely on one side	一面倒
yitou	one head	一头
yitouzaijin	plunge into	一头栽进
yitoure	one-sided enthusiasm	一头热
yitouwushui	be confused	一头雾水
yilei	same type	一类
yileibaohudongwu	class A protected animal	一类保护动物
yipinyixiao	every frown and every smile	一颦一笑
yiyinerjin	drain the cup in one gulp	一饮而尽
yibaoyanfu	feast one's eyes on	一饱眼福
yimashaohuaiyiguo	one ladle  spoils the  pot	一马勺坏一锅
yimadangxian	take the lead	一马当先
yiqijuechen	lead the pack by a wide margin	一骑绝尘
