xuncong	tame	驯从
xunrao	tame	驯扰
xunfu	tame	驯服
xunliang	docile	驯良
xunshun	tame	驯顺
xunyang	domesticate	驯养
xunyangfanzhi	domestication and breeding	驯养繁殖
xunyangfanzhichang	captive breeding facility	驯养繁殖场
xunma	break in a horse	驯马
xunmaren	horse trainer	驯马人
xunmachang	horse training ground	驯马场
xuntuo	tame a camel	驯驼
xunlu	reindeer	驯鹿
ri	horse for relaying dispatches	驲
lu	variant of 驢|驴[lu:2]	驴
bo	variegated	驳
bodao	refute	驳倒
bozui	argue	驳嘴
bohui	reject	驳回
bozi	tow	驳子
bofu	refute	驳复
bochi	refute	驳斥
bozheng	refute and correct	驳正
bokeqiang	Mauser pistol	驳壳枪
bochuan	barge	驳船
boluo	peel off	驳落
boci	a refutation	驳词
boci	refutation	驳辞
boyun	transport by lighter	驳运
boza	heterogeneous	驳杂
jue	used in 駃騠|𫘝𫘨[jue2 ti2]	𫘝
kuai	fast horse	𫘝
jueti	hinny	𫘝𫘨
qu	old variant of 驅|驱[qu1]	驱
jiong	stout	𬳶
zhu	halt	驻
zhujing	stationed in Beijing	驻京
zhudi	station	驻地
zhushou	defend	驻守
zhubo	standing wave	驻波
zhugang	stationed in Hong Kong	驻港
zhuliu	stay	驻留
zhuzha	station	驻扎
zhuhua	stationed in China	驻华
zhuzu	stop	驻足
zhubi	stop over	驻跸
zhuchezhidongqi	parking brake	驻车制动器
zhujun	station or garrison troops	驻军
zhuxi	take up residence	驻锡
zhuyan	maintain a youthful appearance	驻颜
zhudian	stationary point	驻点
nu	inferior horse	驽
nudun	dull	驽钝
numa	inferior horse	驽马
ju	colt	驹
juzi	young horse, ass or mule	驹子
zang	powerful horse	驵
jia	surname Jia	驾
jia	harness	驾
jiacheng	drive	驾乘
jiapei	driver training	驾培
jiabeng	pass away	驾崩
jiafanchuan	sailing	驾帆船
jiayu	variant of 駕馭|驾驭[jia4 yu4]	驾御
jiaxiao	driving school	驾校
jiaji	fly an airplane	驾机
jiazhao	driver's license	驾照
jialin	grace sb with one's presence	驾临
jiating	pilot a boat	驾艇
jiache	drive a vehicle	驾车
jiayuan	pull a carriage	驾辕
jiayun	ride the clouds	驾云
jiayu	urge on	驾驭
jiashi	drive	驾驶
jiashiren	driver	驾驶人
jiashiyuan	pilot	驾驶员
jiashizhizhao	driver's license	驾驶执照
jiashishi	cab	驾驶室
jiashixi	driver's seat	驾驶席
jiashicang	cockpit	驾驶舱
jiashizheng	driver's license	驾驶证
zhen	chatter mark	駗
tai	tired	骀
fu	prince consort	驸
fuma	emperor's son-in-law	驸马
shi	go fast	驶
shiru	enter	驶入
shichu	leave port	驶出
shixiang	head in the direction of	驶向
shiwang	travel to	驶往
shiliu	swiftly flowing	驶流
shili	steer  away from	驶离
bi	strong horse	駜
tuo	hump or hunchbacked	驼
tuozi	hunchback	驼子
tuofeng	hump of a camel	驼峰
tuofengmingmingfa	CamelCase	驼峰命名法
tuobei	hunchbacked	驼背
tuobeijing	humpback whale	驼背鲸
tuose	light tan	驼色
tuoji	ostrich	驼鸡
tuolu	elk	驼鹿
tuo	variant of 駝|驼[tuo2]	驼
si	team of 4 horses	驷
liu	old variant of 騮|骝[liu2]	駠
ma	variant of 罵|骂[ma4]	骂
pian	surname Pian	骈
pian	pull side by side	骈
pianli	parallel	骈俪
pianjian	shoulder to shoulder	骈肩
pianxie	fused ribs	骈胁
pianti	parallel prose	骈体
shen	large crowd	𬳽
hai	astonish	骇
hairen	terrifying	骇人
hairentingwen	shocking	骇人听闻
haike	hacker	骇客
haipa	be afraid	骇怕
hailang	swelling or stormy seas	骇浪
haiyi	astonished	骇异
bo	variant of 駁|驳[bo2]	驳
zhu	black muzzle	駯
yin	iron-gray	骃
luo	surname Luo	骆
luo	camel	骆
luoma	llama	骆马
luotuo	camel	骆驼
xie	thunderous beating of drums	駴
liu	old variant of 騮|骝[liu2]	駵
qin	fleet horse	骎
mang	black horse with a white face	駹
han	fierce	駻
tu	used in 騊駼|𫘦𬳿[tao2 tu2]	𬳿
xuan	gray	駽
tui	approach at swift gallop	駾
jun	spirited horse	骏
junma	fine horse	骏马
cheng	hasten	骋
xing	horse  of reddish color	骍
ai	stupid	騃
zhui	surname Zhui	骓
zhui	piebald horse	骓
zhou	divine horse	騆
she	mare	騇
kun	fine horse	騉
tao	used in 騊駼|𫘦𬳿[tao2 tu2]	𫘦
lai	mare	騋
zong	variant of 騣|鬃[zong1]	骔
ke	female	骒
kema	mare	骒马
ketuo	cow	骒驼
keluo	mare	骒骡
ji	saddle horse	骑
qi	sit astride	骑
qibing	cavalry	骑兵
qijie	hijack	骑劫
qizuo	sit astride	骑坐
qishi	knight	骑士
qishe	equestrian archery	骑射
qishi	jockey	骑师
qishou	horse rider	骑手
qiqiang	carbine	骑枪
qilou	arcade	骑楼
qiqiang	sit on the fence	骑墙
qixing	ride	骑行
qishu	equestrianism	骑术
qijing	mounted police	骑警
qijingdui	mounted police detachment	骑警队
qiche	ride a bike	骑车
qiduwei	cavalry commandant	骑都尉
qima	ride a horse	骑马
qihe	ride a crane	骑鹤
qihehua	die	骑鹤化
qi	black horse	骐
qilin	fine horse	骐𬴊
qilin	variant of 麒麟[qi2 lin2]	骐麟
yan	variant of 驗|验[yan4]	验
fei	side horse	騑
yao	name of a fabulous horse	騕
wu	rush about	骛
pian	old variant of 騙|骗[pian4]	騗
cong	old variant of 驄|骢[cong1]	騘
pian	cheat	骗
pianren	cheat sb	骗人
piangong	cheat sb into confessing	骗供
pianbao	commit insurance fraud	骗保
pianqu	gain by cheating	骗取
pianzi	swindler	骗子
pianju	a swindle	骗局
piantu	cheat	骗徒
pianan	scam	骗案
pianse	trick sb into having sex	骗色
pianshu	trick	骗术
pianzou	cheat	骗走
ti	used in 駃騠|𫘝𫘨[jue2 ti2]	𫘨
zong	variant of 鬃[zong1]	鬃
kui	powerful	骙
gua	piebald horse	䯄
qian	hold high	骞
zhi	a stallion	骘
liu	bay horse with black mane	骝
teng	gallop	腾
tengchu	make  available	腾出
tengchushou	get one's hands free	腾出手
tengnuo	move	腾挪
tengkong	rise into the air	腾空
tengkongerqi	rise into the air	腾空而起
tengchong	see 騰衝市|腾冲市[Teng2 chong1 Shi4]	腾冲
tengyue	jump over	腾越
tengfei	lit. to fly upwards swiftly	腾飞
tengteng	steaming	腾腾
tengxiang	gallop	腾骧
xi	horse with white forelegs	𫘬
zou	surname Zou	驺
zoucong	mounted escort	驺从
zouyu	zouyu	驺虞
sao	disturb	骚
saoluan	disturbance	骚乱
saoluanzhe	a rioter	骚乱者
saodong	disturbance	骚动
saobao	alluring	骚包
saowei	foul smell	骚味
saoke	poet	骚客
saoqing	frivolous	骚情
saorao	disturb	骚扰
saoraokezao	Xenopsylla vexabilis	骚扰客蚤
saojiao	disturb	骚搅
saoran	turbulent	骚然
saorui	sorry	骚瑞
saohua	obscenities	骚话
saohuo	loose woman	骚货
saolu	jackass	骚驴
saonao	noisy	骚闹
shan	geld	骟
zhi	heavy horse	騺
luo	mule	骡
luozi	mule	骡子
luoma	pack animal	骡马
luomadache	mule and horse carts	骡马大车
mo	leap on or over	蓦
mode	suddenly	蓦地
modili	suddenly	蓦地里
moran	suddenly	蓦然
ao	a noble steed	骜
can	outside horses of a team of 4	骖
piao	white horse	骠
cong	buckskin horse	骢
qu	expel	驱
qushi	urge	驱使
quli	driving force	驱力
qudong	drive	驱动
qudongli	driving force	驱动力
qudongqi	drive	驱动器
qudongchengxu	device driver	驱动程序
qudonglun	drive wheel	驱动轮
quhan	warm oneself	驱寒
quyi	order  about	驱役
qusan	disperse	驱散
qubing	wards off disease	驱病
quwen	expel pestilences	驱瘟
quce	urge	驱策
quwen	repel mosquitoes	驱蚊
quchong	repel insects	驱虫
quzou	drive away	驱走
qugan	drive	驱赶
quche	go by car	驱车
quzhu	expel	驱逐
quzhuling	banishment order	驱逐令
quzhuchujing	deport	驱逐出境
quzhujian	destroyer	驱逐舰
quxie	drive out devils	驱邪
quchu	drive off	驱除
quli	drive away	驱离
qumo	drive out devils	驱魔
qumogangui	exorcise	驱魔赶鬼
yu	black horse with white legs	驈
hua	chestnut horse	骅
su	used in 驌驦|骕骦[su4 shuang1]	骕
sushuang	good horse	骕骦
xiao	good horse	骁
xiaoyongshanzhan	be brave and good at fighting	骁勇善战
xiaojiang	valiant general	骁将
lin	horse with a dappled coat	𬴊
chan	ride a horse without a saddle	骣
chanqi	ride bareback	骣骑
dian	black horse	驔
jiao	proud	骄
jiaoren	worthy of pride	骄人
jiaoao	pride	骄傲
jiaosheyinyi	extravagant and dissipated	骄奢淫逸
jiaoheng	arrogant	骄横
jiaoqi	arrogance	骄气
jiaojin	haughty	骄矜
jiaozong	arrogant and willful	骄纵
jiaozhebibai	pride goes before a fall	骄者必败
jiaoyang	blazing sun	骄阳
jiaoyangsihuo	the sun shines fiercely	骄阳似火
tie	dark brown horse	驖
yan	examine	验
yanshang	examine a wound or injury	验伤
yanguang	optometry	验光
yanguangshi	optometrist	验光师
yanguangfa	optometry	验光法
yanguangpeijingye	optometry	验光配镜业
yanguangpeijingfa	optometry	验光配镜法
yanyun	take a pregnancy test	验孕
yanyunbang	home pregnancy test kit	验孕棒
yanniao	do a urine test	验尿
yanshi	autopsy	验尸
yanshiguan	coroner	验尸官
yanshou	inspect and accept	验收
yanming	ascertain	验明
yanmingzhengshen	identify	验明正身
yanhe	check	验核
yanpiao	check tickets	验票
yansuan	verify a calculation	验算
yanxie	do a blood test	验血
yanzheng	inspect and verify	验证
yanzhengma	verification code	验证码
yanhuo	inspection of goods	验货
yanzi	capital verification	验资
yanguan	customs inspection	验关
yandianqi	electroscope	验电器
luo	variant of 騾|骡[luo2]	骡
jing	startle	惊
jingshihaisu	universally shocking	惊世骇俗
jingren	astonishing	惊人
jingrenzhiju	astonish people	惊人之举
jingdong	alarm	惊动
jingjue	faint from fear	惊厥
jingjiao	cry out in fear	惊叫
jingdai	stupefied	惊呆
jinghu	cry out in alarm or surprise	惊呼
jingxi	nice surprise	惊喜
jingxiruokuang	pleasantly surprised like mad	惊喜若狂
jingtan	exclaim in admiration	惊叹
jingtanbuyi	exclaim in astonishment	惊叹不已
jingtanhao	exclamation point	惊叹号
jingxia	frighten	惊吓
jingmeng	awaken from a dream	惊梦
jingtiandongdi	world-shaking	惊天动地
jingqi	be amazed	惊奇
jingshidongzhong	alarm everyone	惊师动众
jingxin	staggering	惊心
jingxindongpo	heart-stopping	惊心动魄
jingxindanchan	frightening	惊心胆颤
jingpa	alarmed	惊怕
jingbu	surprise	惊怖
jingji	stunned and anxious	惊急
jingguai	marvel	惊怪
jingqie	cowardly and panicking	惊怯
jingkong	be alarmed	惊恐
jingkongyilong	Phobetor	惊恐翼龙
jingkongwanzhuang	convulsed with fear	惊恐万状
jingxi	be shocked to learn	惊悉
jingsong	horror	惊悚
jingwu	come to oneself with a start	惊悟
jingji	shaking in fear	惊悸
jingti	be alarmed	惊惕
jinghuang	panic-stricken	惊惶
jinge	stunned	惊愕
jingli	horror	惊栗
jinghuang	panic	惊慌
jinghuangshicuo	lose one's head out of fear	惊慌失措
jinghuangshise	go pale in panic	惊慌失色
jingju	be alarmed	惊惧
jingrao	alarm	惊扰
jingdai	stupefied	惊槑
jingtao	raging waves	惊涛
jingtaohailang	perilous situation	惊涛骇浪
jingbao	unexpected	惊爆
jingxian	appear unexpectedly	惊现
jingyi	amazed	惊异
jingyi	bewildered	惊疑
jingxian	epilepsy	惊痫
jingqundongzhong	alarm everyone	惊群动众
jingxian	marvel at	惊羡
jingyan	variant of 驚豔|惊艳[jing1 yan4]	惊艳
jingjue	realize suddenly	惊觉
jingya	amazed	惊讶
jingcha	be surprised	惊诧
jingyan	very impressed	惊艳
jingshang	surprised and admiring	惊赏
jingqi	give a start	惊起
jingtiao	shy	惊跳
jingche	runaway carriage	惊车
jingtao	stampede	惊逃
jingju	in a panic	惊遽
jingxing	rouse	惊醒
jingcuo	puzzled	惊错
jingxian	perilous	惊险
jingxianpian	thriller	惊险片
jinglei	sudden clap of thunder	惊雷
jingchan	quake in fear	惊颤
jingfeng	infantile convulsion	惊风
jingfei	go off like a rocket	惊飞
jingma	startled horse	惊马
jinghai	be shocked	惊骇
jinghun	in a panicked state	惊魂
jingniao	scare a bird into flight	惊鸟
jinghong	graceful	惊鸿
yi	post horse	驿
yichuan	relay post-horse mail service	驿传
yicheng	see 驛城區|驿城区[Yi4 cheng2 Qu1]	驿城
yizhan	relay station for post horses	驿站
yima	post horse	驿马
zhou	sudden	骤
zhousi	sudden death	骤死
zhousishi	sudden death style play-off	骤死式
zhoujian	decrease rapidly	骤减
zhouran	suddenly	骤然
zhoubian	change suddenly	骤变
zhoujiang	fall rapidly	骤降
zhouyu	sudden downpour	骤雨
lu	donkey	驴
luyou	backpacker	驴友
luzi	donkey	驴子
luganfei	a donkey's liver and lungs	驴肝肺
lujuzi	donkey foal	驴驹子
luluo	hinny	驴骡
xiang	run friskily	骧
ji	thoroughbred horse	骥
jiao	fine horse	骥骜
shuang	used in 驌驦|骕骦[su4 shuang1]	骦
huan	a breed of horse	欢
li	black horse	骊
biao	a horde of horses	骉
gu	used in 骨碌碌[gu1 lu4 lu4]	骨
gu	bone	骨
guci	spur	骨刺
guke	carving in bone	骨刻
guli	vigor of brushstrokes	骨力
guhua	ossify	骨化
guqi	bone tool	骨器
guzi	ribs	骨子
guzili	beneath the surface	骨子里
gugan	diaphysis	骨干
guganwanglu	backbone network	骨干网路
gugan	bony	骨感
guzhe	suffer a fracture	骨折
guliao	aggregate	骨料
guduo	flower bud	骨朵
guduo	club	骨朵
gujia	framework	骨架
gushi	skeletal remains	骨殖
guqi	unyielding character	骨气
gushuini	bone cement	骨水泥
gufa	bone structure and physiognomy	骨法
guhui	bone ash	骨灰
guhuihe	box for bone ashes	骨灰盒
guhuikan	columbarium	骨灰龛
gutan	bone black	骨炭
gujin	bones and ashes	骨烬
gupian	spicule	骨片
gupai	dominoes	骨牌
gupaixiaoying	domino effect	骨牌效应
guci	bone china	骨瓷
gubing	osteopathy	骨病
gutongrezheng	Dengue fever	骨痛热症
guliu	osteoma	骨瘤
gushouruchai	as thin as a match	骨瘦如柴
gupen	pelvis	骨盆
gupendi	pelvic floor	骨盆底
gupan	pelvis	骨盘
gulu	roll rapidly	骨碌
gululu	rolling around	骨碌碌
guke	orthopedics	骨科
guli	emaciated	骨立
gujie	joint	骨节
gufen	bone meal	骨粉
gutan	urn	骨坛
gurou	blood relation	骨肉
gufeihou	hyperostosis	骨肥厚
gumo	periosteum	骨膜
gujiaoyuan	collagen	骨胶原
gudong	variant of 古董[gu3 dong3]	骨董
guxue	flesh and blood	骨血
gulie	bone fracture	骨裂
guzhizengsheng	hyperostosis	骨质增生
guzhishusong	osteoporosis	骨质疏松
guzhishusongzheng	osteoporosis	骨质疏松症
guzhui	osteophyte	骨赘
gudoudou	for plopping sound	骨都都
guzhen	spicule	骨针
guguanjieyan	osteoarthritis	骨关节炎
gudingji	Eurasian coot	骨顶鸡
gutou	bone	骨头
gutoujiazi	skeleton	骨头架子
gutoujier	joint	骨头节儿
guhai	bones	骨骸
guhou	epiphysis	骨骺
guhouxian	epiphyseal line	骨骺线
guge	bones	骨骼
gugeji	striated muscle	骨骼肌
gusui	bone marrow	骨髓
gusuizengshengyichangzonghezheng	myelodysplastic syndrome	骨髓增生异常综合征
gusuiyizhi	bone marrow transplant	骨髓移植
gusuiqiang	medullary cavity	骨髓腔
gugeng	fish bone	骨鲠
gugengzhichen	lit. fish bone of a minister	骨鲠之臣
guling	bone age	骨龄
wei	be bent	骫
gan	shinbone	骭
ang	used in 骯髒|肮脏[ang1 zang1]	肮
angzang	dirty	肮脏
tou	dice	骰
touta	dice tower	骰塔
touzi	dice	骰子
touzhong	dice cup	骰盅
touzhong	variant of 骰盅[tou2 zhong1]	骰钟
xie	joint of bones	骱
ci	a putrid carcass	骴
di	sacrum	骶
digu	sacrum	骶骨
ku	used in 骷髏|骷髅[ku1 lou2]	骷
kulou	human skeleton	骷髅
kuloutou	a death's-head	骷髅头
hai	bones of the body	骸
haigu	skeleton	骸骨
qiao	shank	骹
hou	epiphysis	骺
houruanguban	epiphyseal plate	骺软骨板
ge	used in 骨骼[gu3 ge2]	骼
tui	hip bone	腿
geng	choke on a piece of food	鲠
bi	buttocks	髀
ke	condyles	髁
qia	ilium	髂
qiawo	iliac fossa	髂窝
qiagu	ilium	髂骨
sui	variant of 髓[sui3]	髄
bo	shoulder blade	髆
bang	variant of 膀[bang3]	膀
pang	thigh	髈
liao	hip bone	髎
xiao	sound of arrows	髇
du	used in 髑髏|髑髅[du2 lou2]	髑
dulou	skull	髑髅
zang	dirty	脏
zangluan	dirty and disordered	脏乱
zangluancha	squalid	脏乱差
zangxixi	dirty	脏兮兮
zangtu	dirty soil	脏土
zangzi	obscenity	脏字
zangdan	dirty bomb	脏弹
zangbiao	Parental Advisory label	脏标
zangshui	dirty water	脏水
zangwu	filth	脏污
zangmei	dirty coal	脏煤
zangbing	venereal disease	脏病
zanghua	profanity	脏话
zangbian	dreadlocks	脏辫
zangzang	dirty	脏脏
sui	bone marrow	髓
suijie	pith knot	髓结
suinao	brains	髓脑
suiguoyanghuawumei	myeloperoxidase	髓过氧化物酶
suiqiao	myelin sheath	髓鞘
ti	used in 體己|体己[ti1 ji5]	体
ti	body	体
tiwei	posture	体位
tili	style	体例
tice	side of the body	体侧
tinei	within the body	体内
tixing	corporal punishment	体刑
tizhi	system	体制
tili	physical strength	体力
tililaodong	physical labor	体力劳动
tilihuo	physical labor	体力活
tishi	feature	体势
tixie	sports association	体协
tiwei	body odor	体味
tituan	community	体团
tixing	build	体型
tibi	integument	体壁
titan	sporting circles	体坛
tiwai	outside the body	体外
tiwaishoujing	in vitro fertilization	体外受精
tidasijing	extensive and penetrating	体大思精
ticha	experience	体察
tiji	close	体己
tijihua	intimate or heartfelt words	体己话
tishi	form	体式
tiruo	debility	体弱
tiruoduobing	prone to illness	体弱多病
tixing	figure	体形
ticai	sports lottery	体彩
tizheng	sign	体征
tinian	consider sb else's position	体念
tixing	disposition	体性
tixu	empathize with	体恤
tixuruwei	emphasize down to last detail	体恤入微
tixushan	T-shirt	体恤衫
tiwu	experience	体悟
tixi	empathize	体惜
tigan	physical sensation	体感
tiganwendu	apparent temperature	体感温度
titai	figure	体态
ticao	gymnastic	体操
ticaoyundongyuan	gymnast	体操运动员
ticaodui	gymnastics team	体操队
tihui	know from experience	体会
tixiao	sports school	体校
tige	bodily health	体格
tigejiancha	physical examination	体格检查
timo	body model	体模
timao	body hair	体毛
tiye	bodily fluid	体液
tice	fitness test	体测
tiwen	temperature	体温
tiwenjianceyi	infrared body thermometer	体温检测仪
tiwenbiao	clinical thermometer	体温表
tiwenji	clinical thermometer	体温计
tiwuwanfu	lit. cuts and bruises all over	体无完肤
tixian	embody	体现
tixuan	ringworm	体癣
tiji	volume	体积
tijidanwei	unit of volume	体积单位
tixi	system	体系
tixibao	somatic cell	体细胞
titong	decorum	体统
tifa	corporal punishment	体罚
tiyu	sports	体育
tiyuchang	stadium	体育场
tiyuchangguan	gymnasium	体育场馆
tiyubisai	sporting competition	体育比赛
tiyuhuodong	sports	体育活动
tiyuzha	unathletic person	体育渣
tiyujie	sports circles	体育界
tiyuxi	Physical Education department	体育系
tiyuyundong	sports	体育运动
tiyudabiaoceyan	physical fitness test	体育达标测验
tiyuduanlian	physical exercise	体育锻炼
tiyuxiangmu	sporting event	体育项目
tiyuguan	gym	体育馆
tineng	physical capability	体能
tizhi	body fat	体脂
tiqiang	body cavity	体腔
tifu	skin	体肤
tichou	body odor	体臭
tishi	body louse	体虱
tibiao	surface of the body	体表
ticai	genre	体裁
tiren	realize	体认
tiliang	empathize	体谅
timao	appearance	体貌
titie	considerate	体贴
tizhi	constitution	体质
tishineng	physical fitness	体适能
tizhong	body weight	体重
tiliang	overall volume or size	体量
tichang	body length	体长
timian	dignity	体面
tixiang	pleasant body scent	体香
tixiangji	deodorant	体香剂
tiyan	experience for oneself	体验
tipo	physique	体魄
timingyueqi	idiophone	体鸣乐器
bin	kneecapping	髌
bingu	kneecap	髌骨
kuan	pelvis	髋
kuanguanjie	pelvis	髋关节
kuangu	hip bone	髋骨
gao	surname Gao	高
gao	high	高
gaotiao	slender	高䠷
gaoxia	relative superiority	高下
gaobukepan	too high to reach	高不可攀
gaozhong	senior high school	高中
gaozhong	pass brilliantly	高中
gaozhongsheng	senior high school student	高中生
gaokang	high-pitched and penetrating	高亢
gaoliang	highlight	高亮
gaoren	very able person	高人
gaorenyideng	a cut above others	高人一等
gaofang	imitation	高仿
gaoqi	stay high	高企
gaogu	overestimate	高估
gaowei	high position	高位
gaoweijietan	high paraplegia	高位截瘫
gaodi	height	高低
gaodigang	uneven bars	高低杠
gaodichao	the tide	高低潮
gaobaozhen	high fidelity	高保真
gaogezi	tall person	高个子
gaoao	arrogant	高傲
gaoseng	a senior monk	高僧
gaojia	high price	高价
gaoguang	highlight	高光
gaoguangshike	highlight	高光时刻
gaobadu	an octave higher	高八度
gaoleng	reserved	高冷
gaochu	be higher  by ...	高出
gaofen	high marks	高分
gaofenzi	macromolecule	高分子
gaofenzihuaxue	polymer chemistry	高分子化学
gaofenbianlu	high resolution	高分辨率
gaoli	high interest rate	高利
gaolidai	high-interest loan	高利贷
gaojiasuo	Caucasus	高加索
gaojiasuoshanmai	Caucasus Mountains	高加索山脉
gaosheng	get a promotion	高升
gaokache	go-kart	高卡车
gaowei	high-risk	高危
gaoyuan	plateau	高原
gaoyuanfanying	altitude sickness	高原反应
gaoyuanshanchun	Tibetan partridge	高原山鹑
gaoyuanyanliu	Altai accentor	高原岩鹨
gaocan	senior staff officer	高参
gaochayongzhuang	high leg swimsuit	高叉泳装
gaofan	altitude sickness	高反
gaotai	see 高台縣|高台县[Gao1 tai2 Xian4]	高台
gaoming	renown	高名
gaohu	shout loudly	高呼
gaotang	see 高唐縣|高唐县[Gao1 tang2 Xian4]	高唐
gaochang	sing loudly	高唱
gaochangruyun	loud songs reaches the clouds	高唱入云
gaohan	shout loudly	高喊
gaodi	highland	高地
gaoping	see 高坪區|高坪区[Gao1 ping2 Qu1]	高坪
gaochengshenchi	high walls and deep moat	高城深池
gaotang	main hall	高堂
gaota	tower	高塔
gaoya	high pressure	高压
gaoyashouduan	high-handed	高压手段
gaoyayang	hyperbaric oxygen	高压氧
gaoyayangzhiliao	hyperbaric medicine	高压氧治疗
gaoyayangliaofa	hyperbaric oxygen therapy	高压氧疗法
gaoyaqingxiji	high pressure washer	高压清洗机
gaoyaxian	high tension power line	高压线
gaoyaguo	pressure cooker	高压锅
gaoyadian	high voltage	高压电
gaoshou	longevity	高寿
gaoda	tall	高大
gaodashang	high-end, elegant, and classy	高大上
gaomiao	masterly	高妙
gaoxueli	higher education record	高学历
gaoan	see 高安市[Gao1 an1 Shi4]	高安
gaoguan	high official	高官
gaoguanhoulu	high post and generous salary	高官厚禄
gaoguanxianjue	high ranking	高官显爵
gaomi	see 高密市[Gao1 mi4 Shi4]	高密
gaomi	high density	高密
gaofushuai	"Mr Perfect"	高富帅
gaohan	high and cold	高寒
gaoshejiqiang	anti-aircraft machine gun	高射机枪
gaoshepao	anti-aircraft gun	高射炮
gaoxiao	upper primary school	高小
gaoshang	noble	高尚
gaojiu	take up a prestigious position	高就
gaoju	stand above	高居
gaoceng	high-rise	高层
gaocengzhixingyuan	senior executive	高层执行员
gaocengjianzhu	high-rise building	高层建筑
gaocengyun	altostratus	高层云
gaoshan	high mountain	高山
gaoshanwujiu	Himalayan vulture	高山兀鹫
gaoshanqu	alpine district	高山区
gaoshanlingque	Brandt's mountain finch	高山岭雀
gaoshanxuanmuque	bar-tailed treecreeper	高山旋木雀
gaoshanbing	altitude sickness	高山病
gaoshanzheng	altitude sickness	高山症
gaoshanduanchiying	russet bush warbler	高山短翅莺
gaoshanjinchique	yellow-breasted greenfinch	高山金翅雀
gaoshanquemei	Chinese fulvetta	高山雀鹛
gaoan	in grand style	高岸
gaoanshengu	high bank, deep valley	高岸深谷
gaofeng	peak	高峰
gaofenghui	summit meeting	高峰会
gaofenghuiyi	summit conference	高峰会议
gaofengqi	peak period	高峰期
gaojun	high and steep	高峻
gaolingtu	kaolin	高岭土
gaozhou	see 高州市[Gao1 zhou1 Shi4]	高州
gaogong	senior engineer	高工
gaobang	high-top	高帮
gaoping	see 高平市[Gao1 ping2 Shi4]	高平
gaonian	old	高年
gaonianjisheng	senior student	高年级生
gaogan	high cadre	高干
gaodu	height	高度
gaogongzu	high-arched feet	高弓足
gaoqiang	excellent	高强
gaotu	brilliant student	高徒
gaoxingneng	high performance	高性能
gaoman	proud	高慢
gaoshou	expert	高手
gaoshouruyun	teeming with experts	高手如云
gaocai	great talent	高才
gaojishu	high technology	高技术
gaotai	speak highly of sb	高抬
gaotaiguishou	be generous	高抬贵手
gaozhao	wise move	高招
gaotiao	raised high	高挑
gaotiaozi	tall person	高挑子
gaojieli	high-grafted pear	高接梨
gaoyang	held high	高扬
gaopan	social climbing	高攀
gaopanbushang	be unworthy to associate with	高攀不上
gaoxiao	efficient	高效
gaoxiaolu	high efficiency	高效率
gaoxiaoneng	highly efficient	高效能
gaojiao	higher education	高教
gaojiaoji	advanced trainer aircraft	高教机
gaochang	large and spacious	高敞
gaoshu	further math	高数
gaoxinjishu	high tech	高新技术
gaoyu	greater than	高于
gaoang	hold  high	高昂
gaochang	see 高昌區|高昌区[Gao1 chang1 Qu1]	高昌
gaoming	see 高明區|高明区[Gao1 ming2 Qu1]	高明
gaoming	brilliant	高明
gaokuang	high and wide	高旷
gaolang	loud and clear	高朗
gaomu	Takagi	高木
gaocai	great talent	高材
gaocaisheng	top student	高材生
gaozhenwuyou	sleep peacefully	高枕无忧
gaoguotangjiang	high-fructose corn syrup	高果糖浆
gaoguotangyumitangjiang	high-fructose corn syrup	高果糖玉米糖浆
gaojia	overhead	高架
gaojiaqiao	high trestle bridge	高架桥
gaojiadaolu	elevated road	高架道路
gaoxiao	universities and colleges	高校
gaoliang	Takahashi	高梁
gaomian	Cambodia	高棉
gaolou	high building	高楼
gaoloudasha	tall building	高楼大厦
gaoqiao	Takahashi	高桥
gaodang	superior quality	高档
gaodangfuzhuang	haute couture	高档服装
gaolan	high hurdle	高栏
gaoci	higher degree	高次
gaoge	sing loudly	高歌
gaogemengjin	advance singing loudly	高歌猛进
gaoduan	high-level	高段
gaoshen	profound	高深
gaoshenmoce	profound mystery	高深莫测
gaochun	see 高淳區|高淳区[Gao1 chun2 Qu1]	高淳
gaoqing	high definition	高清
gaoqingxidu	high definition	高清晰度
gaogang	see 高港區|高港区[Gao1 gang3 Qu1]	高港
gaotang	clear soup	高汤
gaowen	high temperature	高温
gaozhang	surge up	高涨
gaojie	noble and clean-living	高洁
gaochao	high tide	高潮
gaonongsuoyou	highly enriched uranium	高浓缩铀
gaore	high fever	高热
gaorebing	fever	高热病
gaoreliang	high calorie	高热量
gaoshao	high fever	高烧
gaolu	blast furnace	高炉
gaoerji	Gorkii	高尔基
gaoerjifuheti	Golgi complex	高尔基复合体
gaoerjiti	Golgi apparatus	高尔基体
gaoerfu	golf	高尔夫
gaoerfuqiu	golf	高尔夫球
gaoerfuqiuchang	golf course	高尔夫球场
gaopai	high card	高牌
gaoqiu	high ball	高球
gaoqiuchang	golf course	高球场
gaoqiubei	highball glass	高球杯
gaochan	high yielding	高产
gaotian	Takada	高田
gaofa	occur with a high incidence	高发
gaofarenqun	high-risk group	高发人群
gaosheng	Goldman Sachs	高盛
gaolu	Gaul	高卢
gaoluyu	Gaulish or Gallic	高卢语
gaokan	attach importance to sth	高看
gaozhanyuanzhu	stand tall and see far	高瞻远瞩
gaochu	towering	高矗
